postnummer	poststed	kommunekode	kommune	kategori
4018	STAVANGER	1103	STAVANGER	G
4019	STAVANGER	1103	STAVANGER	G
4020	STAVANGER	1103	STAVANGER	G
4021	STAVANGER	1103	STAVANGER	G
4023	STAVANGER	1103	STAVANGER	G
4024	STAVANGER	1103	STAVANGER	G
4025	STAVANGER	1103	STAVANGER	G
4026	STAVANGER	1103	STAVANGER	G
4028	STAVANGER	1103	STAVANGER	G
4029	STAVANGER	1103	STAVANGER	G
4030	STAVANGER	1103	STAVANGER	G
4032	STAVANGER	1103	STAVANGER	G
4033	STAVANGER	1103	STAVANGER	G
4034	STAVANGER	1103	STAVANGER	G
5003	BERGEN	4601	BERGEN	G
5004	BERGEN	4601	BERGEN	G
5005	BERGEN	4601	BERGEN	G
5006	BERGEN	4601	BERGEN	G
5007	BERGEN	4601	BERGEN	G
5008	BERGEN	4601	BERGEN	G
5009	BERGEN	4601	BERGEN	G
5010	BERGEN	4601	BERGEN	G
5011	BERGEN	4601	BERGEN	G
5012	BERGEN	4601	BERGEN	G
5013	BERGEN	4601	BERGEN	G
5014	BERGEN	4601	BERGEN	G
5015	BERGEN	4601	BERGEN	G
5016	BERGEN	4601	BERGEN	G
5017	BERGEN	4601	BERGEN	G
5018	BERGEN	4601	BERGEN	G
5020	BERGEN	4601	BERGEN	G
7010	TRONDHEIM	5001	TRONDHEIM	G
7011	TRONDHEIM	5001	TRONDHEIM	G
7012	TRONDHEIM	5001	TRONDHEIM	G
7013	TRONDHEIM	5001	TRONDHEIM	G
7014	TRONDHEIM	5001	TRONDHEIM	G
7015	TRONDHEIM	5001	TRONDHEIM	G
7016	TRONDHEIM	5001	TRONDHEIM	G
7017	TRONDHEIM	5001	TRONDHEIM	G
7018	TRONDHEIM	5001	TRONDHEIM	G
7019	TRONDHEIM	5001	TRONDHEIM	G
7020	TRONDHEIM	5001	TRONDHEIM	G
7021	TRONDHEIM	5001	TRONDHEIM	G
7022	TRONDHEIM	5001	TRONDHEIM	G
7023	TRONDHEIM	5001	TRONDHEIM	G
7024	TRONDHEIM	5001	TRONDHEIM	G
7025	TRONDHEIM	5001	TRONDHEIM	G
7026	TRONDHEIM	5001	TRONDHEIM	G
7027	TRONDHEIM	5001	TRONDHEIM	G
7028	TRONDHEIM	5001	TRONDHEIM	G
7029	TRONDHEIM	5001	TRONDHEIM	G
7030	TRONDHEIM	5001	TRONDHEIM	G
8000	BODØ	1804	BODØ	B
8001	BODØ	1804	BODØ	B
8002	BODØ	1804	BODØ	G
8003	BODØ	1804	BODØ	G
8004	BODØ	1804	BODØ	G
8005	BODØ	1804	BODØ	G
8006	BODØ	1804	BODØ	G
8007	BODØ	1804	BODØ	G
8008	BODØ	1804	BODØ	G
8009	BODØ	1804	BODØ	G
8010	BODØ	1804	BODØ	G
8011	BODØ	1804	BODØ	G
8012	BODØ	1804	BODØ	G
8013	BODØ	1804	BODØ	G
8014	BODØ	1804	BODØ	G
9000	TROMSØ	5401	TROMSØ	B
9001	TROMSØ	5401	TROMSØ	B
9006	TROMSØ	5401	TROMSØ	G
9007	TROMSØ	5401	TROMSØ	G
9008	TROMSØ	5401	TROMSØ	G
9009	TROMSØ	5401	TROMSØ	G
9010	TROMSØ	5401	TROMSØ	G
9011	TROMSØ	5401	TROMSØ	G
9012	TROMSØ	5401	TROMSØ	G
9013	TROMSØ	5401	TROMSØ	G
9014	TROMSØ	5401	TROMSØ	G
9015	TROMSØ	5401	TROMSØ	G
9016	TROMSØ	5401	TROMSØ	G
9017	TROMSØ	5401	TROMSØ	G
9018	TROMSØ	5401	TROMSØ	G
9019	TROMSØ	5401	TROMSØ	G
9020	TROMSDALEN	5401	TROMSØ	G
